source_id,firm,plans,title,official_url,retrieved_at_utc,effective_from,sha256,local_archive_file,archive_status,rule_use_status
LUCID-011,Lucid Trading,LucidDaily 25K,LucidDaily Payouts,https://support.lucidtrading.com/en/articles/15997266-luciddaily-payouts,2026-09-15T09:37:52Z,unknown,06bcd8d6b80ac516b358724ad960f7254a8714742379fb9c05418dc5b43f849a,luciddaily-payouts.html,archived,usable_with_effective_date_blocker
LUCID-012,Lucid Trading,LucidFlex and LucidDaily,Other Trading Activities,https://support.lucidtrading.com/en/articles/11404728-other-trading-activities,2026-09-15T09:37:52Z,unknown,053d62a50da675726e0a07bcba97510fdf42c99fca4e1e8fda9894f742d1dc81,lucid-other-trading-activities.html,archived,usable_with_agreement_conflict_blocker
LUCID-013,Lucid Trading,All,Terms of Use,https://www.lucidtrading.com/terms-of-use/,2026-09-15T09:37:52Z,unknown,,,unavailable_http_403,deployment_blocking
LUCID-014,Lucid Trading,LucidPro only,LucidPro Trader Agreement,https://lucidtrading.com/wp-content/uploads/2025/04/LucidPro-Trader-Agreement.pdf,2026-09-15T09:37:52Z,2025-04-01,,,unavailable_http_403,context_only_not_selected_plan
TRADEIFY-001,Tradeify,Select 25K,Select Evaluation Accounts,https://help.tradeify.co/en/articles/12853921-select-evaluation-accounts,2026-09-15T09:37:52Z,unknown,,,unavailable_http_403,deployment_blocking
TRADEIFY-002,Tradeify,Select Flex and Select Daily 25K,Select Flex and Select Daily Payout Policies,https://help.tradeify.co/en/articles/12853966-select-flex-and-select-daily-payout-policies,2026-09-15T09:37:52Z,2026-09-01,,,unavailable_http_403,deployment_blocking
TRADEIFY-003,Tradeify,Growth 25K,Growth Evaluation Accounts,https://help.tradeify.co/en/articles/10495915-growth-evaluation-accounts,2026-09-15T09:37:52Z,unknown,,,unavailable_http_403,deployment_blocking
TRADEIFY-004,Tradeify,Growth 25K,Growth Funded Account Payout Policy,https://help.tradeify.co/en/articles/11083796-growth-funded-account-payout-policy,2026-09-15T09:37:52Z,unknown,,,unavailable_http_403,deployment_blocking
TRADEIFY-005,Tradeify,Select and Growth 25K,Rules Trailing Max Drawdowns,https://help.tradeify.co/en/articles/10495897-rules-trailing-max-drawdowns,2026-09-15T09:37:52Z,unknown,,,unavailable_http_403,deployment_blocking
TRADEIFY-006,Tradeify,Select Daily and Growth 25K,Rules Daily Loss Limit,https://help.tradeify.co/en/articles/10468321-rules-daily-loss-limit,2026-09-15T09:37:52Z,2025-09-12,,,unavailable_http_403,deployment_blocking
TRADEIFY-007,Tradeify,Select and Growth 25K,Tradeify Pricing Reference,https://help.tradeify.co/en/articles/14369021-tradeify-pricing-reference,2026-09-15T09:37:52Z,unknown,,,unavailable_http_403,deployment_blocking
TRADEIFY-008,Tradeify,All,Guidelines for Traders,https://help.tradeify.co/en/articles/10468318-guidelines-for-traders,2026-09-15T09:37:52Z,2026-08-12,,,unavailable_http_403,deployment_blocking
TRADEIFY-009,Tradeify,All,Funded Trader Agreement,https://tradeify.co/funded-trader-agreement,2026-09-15T09:37:52Z,unknown,6aeecf41e18314b9fdb4e11a4e0782f71bce8250dd9a35bb33148a54e5dfbb90,tradeify-funded-agreement.html,archived,usable_with_effective_date_blocker
TRADEIFY-010,Tradeify,All,Welcome to Tradeify,https://help.tradeify.co/en/articles/10468258-welcome-to-tradeify,2026-09-15T09:37:52Z,unknown,,,unavailable_http_403,deployment_blocking
